Gens;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, avg_best_fitness;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, _std_best_fitness;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, cumulative_evaluations;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, avg_best_fitness;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, _std_best_fitness;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, cumulative_evaluations;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, avg_best_fitness;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, _std_best_fitness;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, cumulative_evaluations;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, avg_best_fitness;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, _std_best_fitness;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, cumulative_evaluations
1;4150,666667;570,9345166;15000;5006,666667;596,0611453;15000;4348;822,4127107;15000;4716,666667;618,1064274;15000
2;4857,333333;762,8321499;30000;5656,666667;631,2333606;30000;4948;994,9686762;30000;5403,333333;776,523592;30000
3;5321,333333;1014,467786;45000;6176,666667;901,7328996;45000;5560;1163,213938;45000;6416,666667;1172,201158;45000
4;5908;1442,198322;60000;7013,333333;1028,504848;60000;6021,333333;1456,689702;60000;7140;1422,111107;60000
5;6290,666667;1831,296323;75000;7800;1582,613872;75000;6402,666667;1651,25999;75000;7580;1600,083331;75000
6;6737,333333;1952,555477;90000;8566,666667;1739,220771;90000;6818,666667;1901,48667;90000;8273,333333;1857,405598;90000
7;7104;2098,98007;105000;9570;1698,460087;105000;7212;2108,646327;105000;8846,666667;2079,059616;105000
8;7518,666667;2245,985653;120000;10216,66667;1735,719511;120000;7597,333333;2131,539246;120000;9240;2088,635918;120000
9;7908;2290,371731;135000;10906,66667;1460,578272;135000;8136;2331,959977;135000;9636,666667;2184,411947;135000
10;8258,666667;2363,392665;150000;11520;1604,036575;150000;8478,666667;2448,035584;150000;10310;2416,795399;150000
11;8518,666667;2482,831359;165000;12130;1757,678393;165000;8794,666667;2623,122482;165000;10896,66667;2593,001264;165000
12;8876;2544,004193;180000;12743,33333;1880,369349;180000;9013,333333;2694,554179;180000;11386,66667;2721,364037;180000
13;9117,333333;2571,40031;195000;13493,33333;1603,316008;195000;9374,666667;2804,144235;195000;11936,66667;2766,524093;195000
14;9358,666667;2607,123234;210000;13883,33333;1652,691408;210000;9673,333333;2897,002282;210000;12546,66667;2937,882836;210000
15;9566,666667;2561,99575;225000;14283,33333;1615,153931;225000;9924;2934,568225;225000;12950;2877,81746;225000
16;9770,666667;2518,347253;240000;14590;1548,838274;240000;10189,33333;2908,680037;240000;13416,66667;2906,209826;240000
17;10004;2548,957434;255000;14960;1477,746031;255000;10356;2908,893948;255000;13696,66667;2797,913905;255000
18;10193,33333;2618,41343;270000;15286,66667;1592,217182;270000;10637,33333;2866,159955;270000;14263,33333;2771,219146;270000
19;10413,33333;2679,31998;285000;15563,33333;1580,397278;285000;10885,33333;2900,928281;285000;14603,33333;2734,042591;285000
20;10582,66667;2723,545402;300000;15703,33333;1561,299316;300000;11189,33333;2972,880683;300000;15006,66667;2659,189517;300000
21;10848;2761,804241;315000;15970;1513,968296;315000;11565,33333;3112,062267;315000;15393,33333;2761,633977;315000
22;11090,66667;2845,730057;330000;16280;1647,705475;330000;11764;3160,617661;330000;15643,33333;2612,493487;330000
23;11262,66667;2823,604001;345000;16406,66667;1584,283925;345000;11925,33333;3188,106788;345000;15950;2712,163958;345000
24;11516;2865,474481;360000;16750;1569,235483;360000;12132;3174,278291;360000;16150;2710,565747;360000
25;11701,33333;2845,74505;375000;17016,66667;1521,20201;375000;12428;3188,669942;375000;16336,66667;2687,189775;375000
26;11924;2906,812229;390000;17340;1635,563104;390000;12661,33333;3232,414715;390000;16616,66667;2742,515066;390000
